sweep,level,embedding,generator,chunking,timestamp,run_path,context_precision_min,context_precision_max,context_precision_avg,context_precision_var,faithfulness_min,faithfulness_max,faithfulness_avg,faithfulness_var,semantic_similarity_min,semantic_similarity_max,semantic_similarity_avg,semantic_similarity_var,answer_correctness_min,answer_correctness_max,answer_correctness_avg,answer_correctness_var,bleu_score_min,bleu_score_max,bleu_score_avg,bleu_score_var,rouge_score_min,rouge_score_max,rouge_score_avg,rouge_score_var,lexical_similarity_min,lexical_similarity_max,lexical_similarity_avg,lexical_similarity_var,avg_latency,avg_contexts_retrieved,avg_context_length,questions_with_contexts
chunking,large,nomic-embed-text,openrouter-gemma-4-26b,large,2026-05-04_08-56-06,chunking-sweep/large/2026-05-04_08-56-06,0.0,0.9999999999,0.18777777776760185,0.14164691356438858,0.5,1.0,0.9666666666666667,0.01555555555555556,0.6572507128805534,0.9072139945304084,0.7699998448541421,0.006434510994056397,0.16450268200511936,0.6643126782201383,0.3011904374040117,0.03114627051457638,0.0062479338590655156,0.09511711698046386,0.03660141475755543,0.0007312592685950876,0.08163265306122448,0.42105263157894735,0.19678465610504123,0.006637517259918239,0.046511627906976744,0.18604651162790697,0.11309754097274251,0.0015823584945060592,2.537075567245483,5.0,1182.12,15
chunking,small,nomic-embed-text,openrouter-gemma-4-26b,small,2026-05-04_08-45-10,chunking-sweep/small/2026-05-04_08-45-10,0.0,0.99999999995,0.08333333332833333,0.0638888888822222,1.0,1.0,1.0,0.0,0.47104549192542755,0.8638386104968021,0.7176373087393428,0.01206602170971982,0.11776137298135689,0.5847258005874845,0.23357599385150238,0.015901844311992607,0.0,0.13566979610140004,0.03114910878609665,0.0009901788929550508,0.0,0.3125,0.15350127432473207,0.005587531664777008,0.0,0.18604651162790697,0.09124746357135538,0.0022326200894730234,1.2926146189371746,5.0,406.05333333333334,15
embedding,bge-m3,bge-m3,openrouter-gemma-4-26b,medium,2026-05-04_08-00-19,embedding-sweep/bge-m3/2026-05-04_08-00-19,0.0,0.9999999999,0.21333333332082408,0.14474814813192768,0.6666666666666666,1.0,0.9555555555555555,0.01283950617283951,0.25449060217063857,0.9163178690572136,0.6009283559199752,0.036451702982172304,0.06362265054265964,0.7540794672643034,0.3118071805550854,0.05295064868552237,0.0030653443147401066,0.15821285888349262,0.04277905970356878,0.0013828595193267378,0.0,0.42105263157894735,0.18973470847688587,0.010031252627301248,0.0,0.28888888888888886,0.11689823260560725,0.004196401712249492,3.3450305620829264,5.0,660.1466666666666,15
embedding,mxbai-embed-large,mxbai-embed-large,openrouter-gemma-4-26b,medium,2026-05-04_07-16-40,embedding-sweep/mxbai-embed-large/2026-05-04_07-16-40,0.0,0.9999999999,0.18416666665359027,0.10285231479915852,0.0,1.0,0.9272727272727274,0.06192837465564738,0.49274995705896085,0.9270584059359862,0.7307777451240048,0.015783922376059873,0.12318748926474021,0.9460503157697108,0.4262330241299338,0.06668414052974601,0.0062479338590655156,0.1074256783500379,0.053441191985250845,0.001108085199664606,0.125,0.4444444444444444,0.22152132518917853,0.009030469749432782,0.04,0.27586206896551724,0.1263756466543127,0.003370699915343538,2.5376659870147704,5.0,818.0,15
llm,openrouter-gemma-4-26b,nomic-embed-text,openrouter-gemma-4-26b,medium,2026-05-04_07-01-18,llm-sweep/openrouter-gemma-4-26b/2026-05-04_07-01-18,0.0,0.9166666666361111,0.09444444443907406,0.06376543209271193,0.0,1.0,0.9111111111111111,0.06617283950617284,0.6323521063359319,0.8834992232835038,0.7587598027438077,0.0062120255087024885,0.16393605824132412,0.7426139362556585,0.30896029386933865,0.03269513489360774,0.0062479338590655156,0.07739184921262726,0.03384584383377871,0.00029540910185498045,0.125,0.4,0.20705628385807487,0.005537973428919607,0.05128205128205128,0.16666666666666666,0.1099654974969933,0.0011125488492796183,1.949417002995809,5.0,765.2666666666667,15
llm,openrouter-mistral-small-2603,nomic-embed-text,openrouter-mistral-small-2603,medium,2026-05-04_06-44-30,llm-sweep/openrouter-mistral-small-2603/2026-05-04_06-44-30,0.0,0.9166666666361111,0.12222222221546296,0.06932098764774793,0.5,1.0,0.9009259259259258,0.02877743484224966,0.6094005874973674,0.903589779958032,0.7623434564542056,0.008384628802765819,0.16328103647909764,0.6670458108613863,0.3181212475094139,0.031105143661355958,0.0,0.09507244120026236,0.03729555792289681,0.0006964493796405015,0.075,0.4,0.19657210761398067,0.008882678638874004,0.0,0.17391304347826086,0.08550853751307078,0.002245466231925009,1.0487377325693765,5.0,765.2666666666667,15
llm,openrouter-qwen3-flash,nomic-embed-text,openrouter-qwen3-flash,medium,2026-05-04_07-05-14,llm-sweep/openrouter-qwen3-flash/2026-05-04_07-05-14,0.0,0.9166666666361111,0.15555555554546296,0.07672839505330967,0.25,1.0,0.8655555555555556,0.07305432098765434,0.6175030615298299,0.8870243526563177,0.7587105774717491,0.006687322360221959,0.16338103554964403,0.7972329082396002,0.34777288246317534,0.04598379426454786,0.006323423276314544,0.14610534486579727,0.058183010893400534,0.0017735940068717285,0.1111111111111111,0.35714285714285715,0.2121504896926508,0.004430688107977281,0.02631578947368421,0.2535211267605634,0.1171953011633582,0.003706247453390111,14.245055516560873,5.0,765.2666666666667,15
